_id,created_date,general_name,name,level,__v
5f884b73e560911ebc1087f7,2020-10-15T13:05:01.166Z,metekel,Alimehal,level_2,0
5f884b73e560911ebc1087f8,2020-10-15T13:05:01.166Z,metekel,Omedla,level_2,0
5f884b73e560911ebc1087f9,2020-10-15T13:05:01.166Z,metekel,bambudi,level_2,0
5f884b73e560911ebc1087fb,2020-10-15T13:05:01.166Z,metekel,Guba,level_3,0
5f884b73e560911ebc1087fc,2020-10-15T13:05:01.166Z,metekel,Zela,level_3,0
5f884b73e560911ebc1087fd,2020-10-15T13:05:01.166Z,metekel,Asmende,level_3,0
5f89c396c3f5741e605ced5c,2020-10-16T15:54:02.073Z,Kefa,omo national park,level_2,0
5f89c396c3f5741e605ced5d,2020-10-16T15:54:02.073Z,Kefa,Gura fereda,level_3,0
5f89c396c3f5741e605ced5e,2020-10-16T15:54:02.073Z,Kefa,Jaba,level_3,0
5f89c396c3f5741e605ced5f,2020-10-16T15:54:02.073Z,Kefa,Tirmatid,level_3,0
5f89c3b1c3f5741e605ced60,2020-10-16T15:54:02.073Z,Kefa,Bir,level_3,0
5f89c457c3f5741e605ced61,2020-10-16T15:54:02.073Z,Afar,Afrara lake,level_1,0
5f89c457c3f5741e605ced62,2020-10-16T15:54:02.073Z,Afar,Alele lake,level_1,0
5f89c457c3f5741e605ced63,2020-10-16T15:54:02.073Z,Afar,Alele ,level_1,0
5f89c825c3f5741e605ced65,2020-10-16T15:54:02.073Z,metekel,Mankusha,level_3,0
5f89c8b8c3f5741e605ced66,2020-10-16T15:54:02.073Z,Afar,semera,level_2,0
5fb69aca147321193885bb3e,2020-11-19T16:18:18.077Z,Afar,Abi hayik,level_2,0
5fb69c3b147321193885bb40,2020-11-19T16:24:27.244Z,Tigrai,Lerba,level_2,0
5fb69c3b147321193885bb41,2020-11-19T16:24:27.244Z,Tigrai,Lecher,level_2,0
5fb69c3b147321193885bb42,2020-11-19T16:24:27.245Z,Tigrai,Dalul,level_2,0
5fb69c3b147321193885bb43,2020-11-19T16:24:27.245Z,Tigrai,Dehimala,level_2,0
5fb69c3b147321193885bb44,2020-11-19T16:24:27.247Z,Tigrai,Badma,level_2,0
5fb69c3b147321193885bb45,2020-11-19T16:24:27.248Z,Tigrai,Berhale,level_2,0
5fb69c3b147321193885bb46,2020-11-19T16:24:27.249Z,Tigrai,Badme/Yirga,level_2,0
5fb69c3b147321193885bb47,2020-11-19T16:24:27.249Z,Tigrai,Dida gisala,level_2,0
5fb69c3b147321193885bb48,2020-11-19T16:24:27.250Z,Tigrai,berhale,level_2,0
5fb69f80147321193885bb4a,2020-11-19T16:38:24.465Z,DireDewa,Dewele,level_2,0
5fb69f80147321193885bb4b,2020-11-19T16:38:24.465Z,DireDewa,Ayesha,level_2,0
5fb69f80147321193885bb4c,2020-11-19T16:38:24.465Z,DireDewa,Adu Gala,level_2,0
5fb69f80147321193885bb4d,2020-11-19T16:38:24.466Z,DireDewa,Geblelu,level_2,0
5fb69f80147321193885bb4e,2020-11-19T16:38:24.466Z,DireDewa,Biagurgura,level_2,0
5fb69f80147321193885bb4f,2020-11-19T16:38:24.467Z,DireDewa,Ayedera,level_2,0
5fb69f80147321193885bb50,2020-11-19T16:38:24.467Z,DireDewa,Awara,level_2,0
5fb6a41d147321193885bb51,2020-11-19T16:58:05.958Z, Semen Gonder,Abederafi,level_2,0
5fb6a41d147321193885bb52,2020-11-19T16:58:05.959Z, Semen Gonder,Gerar Weha,level_2,0
5fb6a41d147321193885bb53,2020-11-19T16:58:05.959Z, Semen Gonder,Metema,level_2,0
5fb6a41d147321193885bb54,2020-11-19T16:58:05.959Z, Semen Gonder,Adi Herdu,level_2,0
5fb6a41d147321193885bb55,2020-11-19T16:58:05.960Z, Semen Gonder,Kokit,level_2,0
5fb6a41d147321193885bb56,2020-11-19T16:58:05.960Z, Semen Gonder,Meganari,level_2,0
5fb6a41d147321193885bb57,2020-11-19T16:58:05.960Z, Semen Gonder,Tawodro Ketema,level_3,0
5fb6a41d147321193885bb58,2020-11-19T16:58:05.961Z, Semen Gonder,/Kuara/,level_3,0
5fb6a41d147321193885bb59,2020-11-19T16:58:05.961Z, Semen Gonder,Mahbere Selassie ,level_3,0
5fb6a41d147321193885bb5a,2020-11-19T16:58:05.961Z, Semen Gonder,Dengure,level_3,0
5fb6a41d147321193885bb5b,2020-11-19T16:58:05.962Z, Semen Gonder,Humera,level_3,0
5fb6a60c147321193885bb5c,2020-11-19T17:06:20.670Z,Mesirak Harerge,Mesrak Gamosha,level_2,0
5fb6a60c147321193885bb5d,2020-11-19T17:06:20.670Z,Mesirak Harerge,Tukayele,level_2,0
